"good_id","attr_name","attr_val"
"39017001861","Brands","ROMOSS/Rome"
"39017001861","model","Sense 6"
"39017001861","size","160x80x22mm"
"39017001861","battery capacity","20000mAh"
"39017001861","Battery type","Soft Case"
"39017001861","Additional features","Multiple U output"
"39017001861","type of battery","lithium polymer battery"
"39017001861","manufacturer","Shenzhen romax technology co. LTD"
"39017001861","shell material","plastic"
"39017001861","Color classification",""
"39017001861","Maximum output power","10W"
"39017001861","Charge agreement","DCP BC1.2"
"41416705409","warranty period","12 months"
"41416705409","package volume","90x30x148mm"
"41416705409","Brands","Inphic/infic"
"41416705409","model","P-M1"
"41416705409","Package Type","Official standard"
"41416705409","Interface Type","USB"
"41416705409","Gross weight","63g"
"41416705409","Wireless distance","10m"
"41416705409","battery model","Bring your own charge"
"41416705409","wireless technology","2.4GHz"
"41416705409","Way of working","photoelectric"
"41416705409","Number of keys","Three"
"41416705409","Optical resolution","1600dpi"
"41416705409","Number of rollers","1"
"41416705409","Does it support ergonomics?","stand by"
"41416705409","Color","brand new"
"41416705409","Whether boxed genuine","Yes"
"41416705409","Color Classification","Space silver (frosted) metal grey (frosted) magic black (smooth) magic black rose gold (frosted) piano white (smooth) queen pink (smooth) handmade cloth bluetooth version - space silver"
"41416705409","manufacturer","Shenzhen haikewei digital technology co., LTD"
"41416705409","After-sales service","Shop 3 packets"
"41581287114","Brands","Flash magic"
"41581287114","model","Iphone6 ​​(4.7 inch) tempered film"
"41581287114","Materials","Tempered glass"
"41581287114","manufacturer","Flash Magic Digital Technology Co., Ltd."
"41581287114","Film type","Before and after the film"
"41581287114","Applicable brand","Apple/Apple"
"41581287114","model","iPhone6"
"41581287114","Film features","Automatic repair Anti-fingerprint HD"
"41581287114","Color classification",""
"41581287114","Applicable mobile phone model","Other iphone models"
"43302901622","Brands","Product Hyun"
"43302901622","model","PX-TPU6+"
"43302901622","Protective cover texture","Tpu"
"43302901622","style","Simple"
"43302901622","Applicable to mobile phone models","Apple/Apple"
"43302901622","model","iPhone"
"43302901622","manufacturer","Dongguan Mengkai Electronic Technology Co., Ltd."
"43302901622","Style","Protective shell"
"43302901622","Color classification",""
"43302901622","Popular element","contracted"
"520152083765","Brands","Master"
"520152083765","model","ST001"
"520152083765","Does it contain remote control","Without"
"520152083765","Materials","stainless steel"
"520152083765","manufacturer","Shenzhen United Nordson Technology Co., Ltd."
"520152083765","Color classification",""
"523903300548","Brands","Master"
"523903300548","model","ST0018"
"523903300548","Does it contain remote control","Without"
"523903300548","Materials","Aluminum alloy"
"523903300548","manufacturer","Shenzhen United Nordson Technology Co., Ltd."
